User,Rating,Title,Helpfulness,Comment,Date
BH,1,Needs to be brighter,63,"I got this projector due to being compact and having built in speaker.  The con is that you can only use in pitch black room, as it isn’t very bright.  I tried in room with blinds and the light from blinds just allows too much light.",24/06/2018
Rebecca M,5,Amazing projector for the price. Tons of fun,44,"We have had the Nebula Capsulefor about two months now and absolutely love it. We downloaded Netflix to the capsule and were then able to download shows from Netflix to the capsule.  We put the nebula capsule in our mini van on a tripod and placed it on the floor and th kids were able to watch all of their Netflix shows while on our road trip. It made for a much happier ride for the kids.Also, we had lost the remote. I emailed Nebula capsule customer service to purchase anew remote and they sent me one for free.My wife and I also found a lot of enjoyment out of this capsule. I downloaded our favorite movie “Forgetting Sarah Marshall”on to the Netflix app on the capsule and we watched it in our hotel room wall at about 10 feet in size.So much fun and a great device. Great sound and great picture for something so small. This is the first review I have ever written on amazon and it’s because this is such a good buy.",10/07/2018
Buddhagem,5,Amazing device that does EVERYTHING!,40,"This mini projector is simply amazing. The size is the first thing that grabs your attention. This thing is tiny. It’s the size of a soda can. So I was skeptical that the images would be very good. Boy was I wrong! The sun hadn’t even went down yet and we were playing it out on our terrace and the image was still bright and vibrant. The ability to download apps like NetFlix, Amazon Prime and Plex is huge! Within minutes I had my entire Plex library at my fingertips. The companion Capsule App for IOS works great. The standard remote is fine but with the app I don’t have to worry about bringing one more thing. The speaker is fine but we typically hook it up to one of our larger Bluetooth speakers for more robust sound.Last night I took it in the bedroom and watched a movie on our ceiling with the sound pumped in to my airpods. The picture was amazing even just projecting it onto a white ceiling. From our bed up to the ceiling I still had a 50” screen. It was so fun!This thing is great. You can download just ...",22/07/2018
Eric in New Mexico,4,"Compared to the WOWOTO T8e, Nebula made a great set of compromises on a truly portable device",83,"After comparison to the WOWOTO T8E: Bumping up one star.  I wish I could settle at say, 3.75 stars.  I really want a bit more ANSI lumens (200 would be solid); and 720P.  But Anker/Nebula clearly balanced a lot of choices in the design here.  Internal apps also need work, and we need Google Play Services stat.  I also think Netflix needs a tweak to support higher resolution streaming as it seems to settle on 480p and lower bitrate than I'd like and I find connecting my phone via HDMI results in a better Netflix experience.Overall I'm sticking with the Nebula Capsule over the T8e.  My reasons being:1) Fan noise on the T8e is way too annoying2) T8e has a terrible internal speaker, and using a BT speaker is a huge problem because of a .5s-1s audio delay3) No smartphone app for control - this is the the best part of the Nebula Capsule as the smartphone app is excellent.  I hated using the touchpad on the top of the T8e.4) <2 hours Battery life on the T8e means you will likely always need to plug in during a fu...",26/01/2018
amazonian,1,"2 weeks, 7 etc support calls and  $76 worth of hdmi cables and connectors but still doesn’t work.",16,"Mine had a ton of problems. I called customer support about 5 times and ultimately couldn’t get it to work. When I clicked on Netflix on the home screen it would neither download Netflix nor play Netflix. So I called and they gave me a work around, a google play password to download the google store. I did that only to find that there was no enter button. Not on the remote or on the iPhone nebula connect app. So I called again and they told me to hold down the mouse button on the remote until I got a pointing hand cursor which I could use my remote arrows to navigate around. Finally I could scroll down enough to get to the enter button. Success!  Google play store finally downloaded. A series of steps was completed and I restarted after the install. Now I went to try to download Netflix. I typed netflix in the search window but Netflix didn’t appear. So I couldn’t download the app. Giving up on that, I tried to download amazon prime from the google play app because that’s the other way I watch movies. Well...",07/10/2019
Sandro,5,Excellent so far...,22,"Been using it for a week so far and i’m pretty happy with it. size is small but has a nice weight to it. well built. it is bright enough even with some lights on. User interface is very easy to use and navigate. Remote is decent enough but would have been so much better if they used bluetooth, as it is it needs line of sight in order to work but they do have a phone app available for iphone and android. would have like to see more i/o ports. only has one micro usb to charge and a full size HDMI. All in all this is a great little projector to use ANYWHERE, but specially when traveling on vacation or camping. it projects a good picture even on a gray wall 5 feet away. the speaker is so much better than any other Pico projectors, personally I have tried 4 others with similar form factor. this is not a bose speaker but it is very good to watch any movie. not much of a bass but i’m sure it is phisically impossible to get anything better in such small space. I also looked at getting at their own nebula protectiv...",28/04/2018
Jay Pinks,3,A Good Attempt but Needs Improvement,15,"I purchased the Nebula Capsule Smart Mini Projector as a gift so I can not review it for long term use.I inspected the projector to ensure it works because it is going to family overseas and can not easily be exchanged if needed.  I am happy I did this because there was a small problem with the remote.  The battery door was broken and would not stay in place.  Anker contacted me directly via email to ask about the purchase and when I informed them of the problem they had a new remote to me in 3 days.  I am always impressed with Anker's customer service.I attached the Nebula Capsule to a camera tripod and found it fit perfectly.It powered on with an almost full charge out of the box.  The one I purchased is black and it has a slick look.  As described it is similar in size and weight to a can of soda.The material quality is top-notch.  The casing feels like it is built to last, mostly of metal.The size makes it very portable.  I paired it with a hard-shell travel case for safer transportation.It comes with ...",31/03/2019
ES,1,Exceeded expectations,20,null,28/12/2018
Stephanie Zahn,4,Great now that I have google play!,5,"We had a rough beginning but I finally love it! I could not for the life of me get my note 9 to screencast, without a 3rd party app called ""castto"". The problem is, it froze so much. I use this to stream peloton workouts so it was super frustrating when it would freeze for a good 2-3 minutes, multiple times, during workouts. I was not sure if it was the casting app or the Nebula that was freezing. I finally got around to calling Nebula, to get the password to install google play, so I could just download the app I wanted instead of screen casting. Like the other reviewer said, to get google play you need to: Go to ABOUT in the settings menu and CLICK ON THE ANDROID VERSION 5 TIMES in a row. A password window comes up, input gmstest1221 (all lower case, no spaces) then click DONE and it'll let you install. The device will need to reboot.After I got google play, I took my workout class and experienced NO freezing. So it seems to be the casting app I was using. Nebula really should consider selling the device...",27/12/2019
Samuel Lee,3,"Lovely outside, but the guts on this unit leaves something to be desired.",9,"Out of the box the unit itself is a solid piece of hardware, well constructed, metal grill over the speakers and a thick chasis that looks like it can take a fall or two without hurting the unit itself, the lens is recessed far enough that it won't get scratched easily but for that extra layer of protection a small bag is included with the packaging.So that's the good... what about the bad?The operating system being Android 7.1 is fine but even with the basic apps (youtube, netflix, opera browser) I've already taken up over half of the built in memory. That doesn't leave much room for videos etc. While the usb port may be used for expanded memory (although one raises the issue on how you would charge the unit) the fact that you don't have a micro sd slot seems like a poor design decision.As far as apps are concerned Youtube is problematic because I can't seem to login to my youtube account despite me pressing the ""login"" button many times it just doesn't respond. Netflix responded ok so that's a big plus.T...",22/05/2018
Dino Biel,4,"Wanted to love it, but it wouldn't love me...",7,"I wanted to give this more stars, but it just falls short... I am sending this back because the unit I received has a defect, but I did test it (at least the features that were working) and here is what I got to say:Pros:---------------- Runs cool to the touch (Every time i turned it on it never got hot)- Feels really well built- Projector works well- Built in speaker holds its own....not better than most portable speakers but still a good speaker.Cons:------------------ Let's start with the biggest: The OS is buggy.... and I couldn't even successfully download apps from the store. Every time i tried it crashed.- This device is severely lacking inputs. Other models out there have more inputs- The remote control is absurdly finicky, you have to aim it right behind the projector and if you don't your input wont register....- No Google Play Store?!?!??! Why?!??!?! (to be fair they include Aptoide TV but it's a far cry from the play store).Conclusion: I really wanted to love this product. But after not being a...",25/05/2018
GodsReapingSoldier,1,It must be unlocked...,5,It is locked so none of the apps work. You can not even sign into Youtube. Lol!  You can not even screen share and run apps through your phone the device detects it and crashes your connection in order to stop you from using apps. What is the point of buying this pricey thing?You actually have to jail break it to make it worth while. I'm not going to do that! Just thought I would save you all the time.,09/08/2020
joe cabello,4,Tested in home and outdoors for groups,2,"I've used this to screen outdoor movies and it was plenty bright with good picture. You can get better picture quality from cheaper projectors, but the convenience factor is just too good. I went from watching a movie in on room to the other with no set up needed.  I just moved my tripod from one room to the other. If it wasn't so convenient, I'd never use it. Since it is, I use it constantly.The included software does the job, though some apps require you to use your phone as a remote.If the price is egregious to you but you still want portability, I would suggest investing in a cheaper projector but also get a stand and a mount. You're probably looking at spending about the same at that point.Cons:Sound - the speakers are loud enough, but they are tinny. It does NOT have aux hook up, so you'll have to rely on Bluetooth. I found there to be some lag with the bluetooth though. There is a way around this. Instead of connecting to the projector to the bluetooth speaker, connect the DEVICE to the bluetooth sp...",22/06/2020
Jesse,5,A little projector that packs a punch!,56,"Bought this for my wife for her birthday. She wanted a projector in the bedroom to cast upon the ceiling. I was all over getting this for her! After doing research and looking at a lot of different mini projectors, nothing even came close to the awesomeness that this thing portrayed. When it arrived and we got it all hooked up and running, we weren't disappointed in the slightest. We purchased the tripod stand with it and it does exactly what we wanted it to do.While the ceiling isn't the best projection surface (it's a textured ceiling), it still worked great. We have since moved it to project across our wall and boy does it take up the whole dang thing! Of course, you're not going to get be getting 1080p quality with a device this small and compact, but it's still more than watchable. We quickly installed Plex and Netflix, added the remote control app to our phones, and were watching shows and controlling this bad boy in no time flat. The fact that it houses the apps on the device itself is super conveni...",18/01/2018
Safari Man,5,My  favorite LED projector by far! Ticks all the boxes.,4,"I bought this Nebula Capsule for a trip to South America to visit family (to show home movies and pictures). It is about the same size as a can of coke, so it is small, but boy does it pack a punch. All of the other projectors I have used were shaped like smartphones, so I was a bit thrown off by the shape of the Nebula. But let me just tell you right now, this can shape is great! I really can't say there is anything I did not like about this unit when it comes to the major features. It just ticked all the boxes. They got a lot of things right on this unit.Things is really liked.1. Great Speakers!The main thing that was wrong on the other four units I have used was the speakers, which were all but useless. That is not the case with this Nebula. I showed videos to groups to over 30 people in an outdoor setting and no one had any trouble hearing clearly. Since all my previous LED projectors had basically worthless speaker, I was not expecting anything different out of this Nebula, so I bought the OontZ Angle...",21/03/2019
mommy2boys,5,"AMAZING!! EASY TO USE RIGHT OUT OF THE BOX,  GREAT SOUND AND PICTURE, BUY IT ALREADY!",,"Was looking for a more portable projector than our large epson for movies in the yard or to take camping/on trips.  After being super disappointed with the tiny LG  MINIBEAM projector we purchased from a local store, we ordered this one.  Immediately we opened it up and tested it out with a dreamworks film for the kids...JUST WOW! The fact there is an almost full charge out of the box was amazing, the picture quality was really impressive even with the light spilling into the room from another room. The brightness and color seemed pretty accurate. The sound is pretty loud, no need to turn it all the way up and the 360 speaker is awesome, no wondering if it is reaching all sides of the audience.  The fact you can download apps to stream and run everything off your phone, completely cordless is such a huge advantage over the other mini projectors!!  In the past we have had to drag the fire stick, an external speaker, and  power cords just to play a movie.  From unboxing to movie watching was maybe 10 minutes...",25/08/2020
Gracia Andino,1,Mala resolucion en salas iluminadas,15,"Mala resolucion en salas iluminadasLa resolucion en salas iluminadas es mala, no se ve practicamente nada en ninguno de los modos. Solo funciona en salas oscuras",10/10/2018
Amazon_Shop_3920777,4,Nice hardware design but user experience is terrible,6,"Bought this for it's portability and ease of use through WiFi and streaming applications. Was easy to set-up and the quality is good. However, the negative outweighs the positive for me. When streaming, it goes to sleep every 30 min or so. I have to remember to move the mouse which ruins the experience. If there's a setting to change this, I can't find it in all the menus I've sorted through. Searched online for a solution and nothing was helpful. Just opening a show on Netflix is a nightmare. Even using the Nebula Connect app is painful for scrolling. Usually need to close out the Netflix app completely and open it again. Would not recommend this.UPDATE: Anker customer support is really superb. They followed up to ensure my software and firmware were up to date to resolve my issue. The sleeping issue no longer happens, but I’m still experiencing some minor glitches. I’ve revised my rating to a 4.",01/05/2019
robert clee,1,Terrible Software and Barely Usable!!,2,"I was really excited for this to show up with the NFL Championship games coming up this weekend. I have AT&T TV for live television which is available on my Roku, Amazon Fire and pretty much every other device. The Nebula loaded software is just flat out terrible!! AT&T TV is not available and cannot be projected via Airplay. I know I can use an HDMI from my iPhone but for me that completely defeats the purpose of buying an expensive PORTABLE projector.Netflix and Disney+ using the AppToid software requires the Nebula app vs the provided remote. I prefer a remote, Roku and Fire TV UI work well with their remotes and that is the experience I am looking for.Sound is great, video is more than good enough but not full HD. However, the UI is so bad I am going to return it!My recommendation is if this can be upgraded to Android TV 9.x than its worth it, if you not and you are stuck with AppToid than I would say ""Do not buy!'",21/01/2021
SE Gleason,4,Didn't Work with iPhone (updated),,"We returned the item as it didn't work as we expected.  You can't set the system up without a phone app even though it looks like there are controls for it on the device.  The iPhone app interface is clumsy and the touch control doesn't work well.  The UI screen flow is incomprehensible.  We couldn't get the iPhone display to project and when we tried to download the device's Netflix, etc. apps to project shows that way; the installs always failed with ""Unexpected error"".  It even took quite a bit of playing to get the PC display to project.  I probably could have played with it, bought more cables and gotten everything to eventually work but this was a present for someone who is not technically savvy and gets frustrated getting techy stuff to work.  I've been in IT for decades and everything about the projector setup and operation felt like it was designed by a techie for a techies and not for a consumer.  When we did get a projected display, the display was OK.(update)  Anker contacted me about my review...",09/01/2021
Brian,5,"Well thought-out, high-quality",,"Every time I use this projector, I like it more. The build quality feels really solid, the picture quality is better than I expected, if a little low on contrast, and the sound quality is good. At first I was hesitant to download yet another app to my phone just for controlling it, since the included remote control works well. But I will admit that once I caved and downloaded the remote control app, it's well-designed and very functional. I've also used AirPlay to mirror my screen to the Nebula, to watch video from a different app, and that worked seamlessly. So far the 4-hour playback time has been pretty accurate and reliable, which is great because it is so highly portable. I've been slipping it in my camera bag in place of an extra lens, which makes it so easy to bring along anywhere. And, you can run it off of an external USB battery to extend the runtime if you really want to binge Netflix. All in all, I expect to be using this for years to come!",08/09/2020
Monica W.,5,One of my favorite purchases in the last few years,,"I love this this little projector. It surpasses all my expectations, and honestly it's probably one of my favorite purchases from the last few years.It's essentially like a soda-can size TV set that can project an image many times the size of our actual TV, onto any suitable surface anywhere. It's like having a portable cinema in my pocket. We have a giant window in our living room with a white roller blind, and turns out it's the perfect surface for a projector—instant movie theater! We used it to play Mario Kart the other day, and it was really cool to play split screen on such a giant surface. We've also watched Youtube videos in bed while projecting it on our bedroom ceiling, and screened movies using a wall at a friend's house. The other day we held a party and used it to do video projections on a way for ambience.I was worried about the brightness, but the Nebula is impressively bright. Obviously it doesn't work well in bright daylight, but you only need the ambient light to be somewhat dim for this ...",13/11/2019
AuxilioVeritas,5,A profoundly durable projector well-worth the money.,3,"OK. Right off the bat, this is NOT a daytime-use projector. 100 lumens gets you about as much in the day as a flashlight intended for the use of illuminating the sun. It just does not work in the presence of light (maybe a darkened room... with a bit of light...maybe). Just so you know, I take my freedom seriously. I like to have fun in different environments and indoor movies/gaming are traditions I can not abide.In a darkened room this beautiful piece of simply phenomenal conception is amazing. I am so fond of it that tears come to my eyes when I think of leaving it behind. It is so small, yet the resolution is fantastic. I get amazing resolution at 200 inches (screen size) and surprising versatility for a projector. Suck it Samsung (your TVs are bulky, expensive and strain my eyes).Furthermore, the Nebula Capsule (by Anker) can connect to another device (my Bose SoundLink Revolve speaker, in my case) if you do not like the sound quality (not the same as Bose, but surely impressive with size and all othe...",06/02/2019
obakir,5,Absolutely amazing,,"I bought this for one specific purpose and it is performing absolutely amazing. I use it to do a slideshow of some family pictures. I looked at other options to do this, like electronic frames. Good ones are twice the price of this device but what you get is a 10” screen which has to be plugged in.Night time with some gentle lighting the brightness and picture quality is amazing with this device. I have a usb stick plugged into my router and the preinstalled fotoo app on this device read pictures in the network drive, scales them to fit the screen, and lets you adjust the timing between pictures. All with no problem. I have a micro tripod that fits it well. It does horizontal keystone correction perfectly. App is gorgeous. Works every time. It has a live chat support 24/7.Support line is amazing. You send an email and a lady responds starting with an apology for the late response. This nice lady is apologizing for 6hrs! You call att and they out you on hold longer than that. There was a problem with the ch...",03/01/2020
Cindy,5,LOVE this projector and their customer service!,,"I have wanted a projector for years for backyard movies and shows and finally bought this one after borrowing a friends. It is great! The size is wonderful, super compact, and even better that you don't need to be plugged in to use it. I wish this cheaper model had auto focus, but that's really my only complaint and it focuses just fine when I do it manually. Besides the capsule being great, the customer service has been INCREDIBLE. Any question I have had, they have been so helpful in answering and their follow up is some of the best I have seen. I updated my software and needed to wait 10 days to get access to something, and on the 10th day they followed up with me first thing in the morning. Their responsiveness, helpfulness, and kindness has been super impressive. Great product and great company, highly recommend.",27/10/2020
Ronald G.,5,I love this stupid projector. Great bang for the buck if you're aware of its limitations.,,"Lovely projector for the money. Super light weight, super portable. The built-in speaker's fine for dialog and light music (I can't imagine anyone using it as a bluetooth speaker, but hey, you can if you want to). The internal speaker seems to be very voice-focused, so speech clarity is quite nice. If you're watching action films, explosions are underwhelming for certain. Bluetooth audio to an external speaker is fantastic (I've paired it with an Aukey bar, and Aukey receiver, an Urban Kanteen speaker, and a pair of wireless buds from the dollar store, no problems with anything, and the transport controls on the speaker let you pause the picture.Unfortunately, if you're running HDMI, picture leads audio by about a half second or more due to the projector's need to re-encode the audio for BT transmission, and there's no way to adjust audio/ video sync in the necessary direction.TIP: get a bluetooth micro-keyboard for much nicer remote control of the unit. The included remote is lacking at best, and the app ...",20/02/2020
Kelsey Krenwinkel,2,Does not work well with Airplay for iPad,7,"I bought this projector because I wanted to use it in my classroom to airplay from my iPad. I thought it was perfect because it was small, wireless (no cords!!!!!), and I could easily move it around my room. Once I got it and began using it, however, I realized that airplay from the projector to my iPad is very slow, sometimes unresponsive, and now won't even connect. The other issue is that it's really not very bright unless you have a very dark room. This is an issue for my classroom because my students still need enough light to write their notes. I had such high hopes for this projector. I will say that I liked the fact that it has the remote app (super convenient). The only thing I would recommend this projector for is to watch Netflix. Besides that, not worth it. I'm really underwhelmed, especially for the price.",04/08/2018
Texi,4,Amazing concept that could use a little tweaking,null,"Our family decided to put on an outdoor movie in the backyard, so I started looking at buying a projector. I quickly realized we were going to need a lot of cords/connections to make it work. And then I ran across this handy product.Pros:- No extension cords needed, no connecting to a receiver/laptop for media content, and speakers already built in... AMAZING!! Plus, controlling it all from my own phone (or the provided remote if I want).- Has apps for streaming content, which basically makes it a portable smart TV- The speakers are great for most use, but for an outdoor movie with lots of people, we decided to connect it via bluetooth to our Sonos Move speaker. Brilliant built-in option, and again, no cords needed.- Setup was extremely easy.- Auto keystone correction feature is really handy. It senses the angle of tilt and adjusts the picture to match, so you don't end up with a weird trapezoid shape.- Has screw in feature at the bottom for a standard tripod.Cons:- Noticeably dim. This was the biggest dis...",24/03/2020
Jordan,3,Not what you think,,If you’re a teacher or a businessman then this will be just fineBut if you just want to connect to a projector via Bluetooth and play YouTube videos on your wall or ceiling...this is far from the right productIt needs WiFi because it is its own device and in that sense you can use YouTube or even NetflixBut this is the type of purchase that involves several more purchases afterwards if you want to utilize the productSince I can’t do anything with it I just use it as a speakerMaybe one day I’ll get the type of projector that works with a phone in a simple mannerAnd maybe one day I’ll get to use this as intended..but it is literally not possible right now,15/08/2020
SSG Cross,5,Truly amazing piece of hardware. I'm blown away!,2,"First the not so great: Initially it is kind of a pain to set up, but after that it's great! For some reason it was having trouble connecting to Netflix at first, but once it connected it was good to go and didn't disconnect at all while watching a movie. So perhaps it was just having issue initially. If it's a consistent issue I will post and update and perhaps rethink my rating but right now I'm having no problems with it anymore and it works fantastic. Also if you are getting this device I would advise you to go into settings and update it right away that might also fix any issues you might have with the device. Setting up Netflix and signing in with your account takes a little patience but it's worth it, and once it's done your don't have to do it again. For the price I was kind of hoping it would come with a HDMI cable but that's ok I just went and bought one real quick. So if you don't have a spare lying around I would order one with this. Once you get used to the Console Control App, it is actually ...",05/07/2018
K. Engell,5,Super cool little projector,3,"I love this little projector.  It's pretty bright and the image is even great during the day in a darkened, but not dark room.  I love how I can lay on the floor and point it at the ceiling and watch movies.  It saved the night on New Years when we were with friends and the power went out.  I was able to use an app to view live coverage of the ball dropping while using my phone as a hot spot.  Also Anker customer support has been excellent for all of my Anker products.  They reply to emails in less than 24 hours...much less more like an average of 2 hours.  With this projector they helped me add the google play store.  I would definitely recommend this little guy.",24/05/2019
802VTSteve,2,"Was probably a great purchase in 2018, but there are better options for price in 2021",null,"This projector is really cool looking. It's really easy to use and connect via HDMI or the app. It's compact size makes it easy to take with you, where ever you go, and the speaker is powerful enough that people in the room can hear everything they need to hear.BUT- the video quality is a bit dated at this point. Low ANSI Lumen number and non HD video playback makes this projector a relic of the past that has been bypassed by technology of newer items.Customer support was great to work with, and offered up a few great things to try and make this work better to fit my needs. Getting to be a beta tester and access the play store was HUGE....but it still left me wanting more from a video quality standpoint.Simply put- I don't think it's worth the price when compared to other similar projectors on the market in 2021.",09/04/2021
Chenoa Allen,5,"small and portable, great functionality",,"This is a great little projector! My priorities picking a projector were - a small, portable projector with its own operating system so I can watch hulu / netflex / etc without plugging my phone into it. The Nebula fits the bill. After I had it a while, I also wanted to watch Google Play movies on it, and the Play app isn't available on the Nebula OS - but Anker customer service was super helpful (and fast!) getting me set up with the beta version of the full Android OS so that I can download and use any apps available in the Play store.There are a few downsides - the remote doesn't work with most apps, so you need to use the phone app that turns your phone into a remote, and that app is clunky. It's not bright enough to watch in bright daylight. But if you are looking for a small projector that is portable and doesn't require extra wires (besides the charging cable), I think it's great. I've always been very happy with Anker products, and this one is no exception.",01/11/2019
Amazon Customer,2,Just ok not great,2,I wanted to like this mini projector so much but i just can't. So first of all you can't mirror movies from your tablet even if you paid for the movie. It's great that the hulu and Netflix apps let you pre download them if you decide to use this camping but i wanted to use my tablet considering i have over 200 movies and 7 tv shows on it. Also the projector doesn't come with the google play store even though it's powered by Android. They also have a bug when connecting your phone to it because it disconnects every 20 seconds or so. I decided to give the hdmi cable option a try but the sound is about a second behind so it's a little annoying. They really need to update the software if they are going to charge as much as they do,06/11/2020
